# Tiempo_dias,Posicion_AU,Velocidad_kms,a_Psi,rho_dot,I_Ni
3.579968857746635535e+01,6.059691000171992137e+00,-3.045283952212848533e+01,-5.066401121905213154e-34,-5.066401121905213154e-34,5.056401121905213154e-14
3.614725836948059623e+01,6.053577545932944837e+00,-3.045769545390568211e+01,1.531578800615419602e-34,1.531578800615419602e-34,1.521578800615419565e-14
3.649482816149483000e+01,6.047463115851289039e+00,-3.046256120713008997e+01,2.587336946639573045e-34,2.587336946639573045e-34,2.577336946639573342e-14
3.684239795350906377e+01,6.041347707959614510e+00,-3.046743681302365303e+01,-5.625445320417631169e-34,-5.625445320417631169e-34,5.615445320417631069e-14
3.718996774552330464e+01,6.035231320285065593e+00,-3.047232230292338073e+01,6.503855728403226318e-34,6.503855728403226318e-34,6.493855728403225931e-14
3.753753753753753841e+01,6.029113950849350090e+00,-3.047721770828130872e+01,-4.836126572723282283e-34,-4.836126572723282283e-34,4.826126572723282599e-14
3.788510732955177218e+01,6.022995597668725942e+00,-3.048212306066454502e+01,1.367645541502686476e-34,1.367645541502686476e-34,1.357645541502686443e-14
3.823267712156600595e+01,6.016876258754012774e+00,-3.048703839175523100e+01,2.621625255111700007e-34,2.621625255111700007e-34,2.611625255111700283e-14
3.858024691358024683e+01,6.010755932110588340e+00,-3.049196373335056620e+01,-5.519581726554557256e-34,-5.519581726554557256e-34,5.509581726554557746e-14
3.892781670559448060e+01,6.004634615738383197e+00,-3.049689911736280123e+01,6.299069912403704433e-34,6.299069912403704433e-34,6.289069912403704726e-14
3.927538649760871436e+01,5.998512307631888696e+00,-3.050184457581923070e+01,-4.613368339474739982e-34,-4.613368339474739982e-34,4.603368339474740436e-14
3.962295628962295524e+01,5.992389005780154321e+00,-3.050680014086221092e+01,1.211602391125884039e-34,1.211602391125884039e-34,1.201602391125884061e-14
3.997052608163718901e+01,5.986264708166782356e+00,-3.051176584474913156e+01,2.650718225204840023e-34,2.650718225204840023e-34,2.640718225204840245e-14
4.031809587365142988e+01,5.980139412769936769e+00,-3.051674171985243689e+01,-5.413148075847068658e-34,-5.413148075847068658e-34,5.403148075847068544e-14
4.066566566566566365e+01,5.974013117562337882e+00,-3.052172779865963648e+01,6.098535904075354397e-34,6.098535904075354397e-34,6.088535904075354119e-14
4.101323545767990453e+01,5.967885820511261485e+00,-3.052672411377327322e+01,-4.397960299462894719e-34,-4.397960299462894719e-34,4.387960299462894939e-14
4.136080524969413830e+01,5.961757519578543274e+00,-3.053173069791094463e+01,1.063179790603330944e-34,1.063179790603330944e-34,1.053179790603330923e-14
4.170837504170837207e+01,5.955628212720573522e+00,-3.053674758390529931e+01,2.674883086757732883e-34,2.674883086757732883e-34,2.664883086757733186e-14
4.205594483372261294e+01,5.949497897888302411e+00,-3.054177480470403694e+01,-5.306307621454035924e-34,-5.306307621454035924e-34,5.296307621454036374e-14
4.240351462573684671e+01,5.943366573027235589e+00,-3.054681239336990117e+01,5.902250538777129555e-34,5.902250538777129555e-34,5.892250538777129271e-14
4.275108441775108759e+01,5.937234236077435945e+00,-3.055186038308069385e+01,-4.189737038378200111e-34,-4.189737038378200111e-34,4.179737038378200048e-14
4.309865420976532135e+01,5.931100884973525389e+00,-3.055691880712926434e+01,9.221145951516088874e-35,9.221145951516088874e-35,9.121145951516088359e-15
4.344622400177955512e+01,5.924966517644683073e+00,-3.056198769892350597e+01,2.694377510892614463e-34,2.694377510892614463e-34,2.684377510892614516e-14
4.379379379379379600e+01,5.918831132014641838e+00,-3.056706709198636673e+01,-5.199214593682780438e-34,-5.199214593682780438e-34,5.189214593682780933e-14
4.414136358580802977e+01,5.912694723581485512e+00,-3.057215708887724759e+01,5.710205653218108599e-34,5.710205653218108599e-34,5.700205653218108425e-14
4.448893337782226354e+01,5.906557278157682944e+00,-3.057725806743408725e+01,-3.988534011011701287e-34,-3.988534011011701287e-34,3.978534011011701776e-14
4.483650316983649731e+01,5.900418792454923178e+00,-3.058237009436418674e+01,7.881500213132913954e-35,7.881500213132913954e-35,7.781500213132914435e-15
4.518407296185073818e+01,5.894279264914700889e+00,-3.058749318705241294e+01,2.709449852587923504e-34,2.709449852587923504e-34,2.699449852587923656e-14
4.553164275386497195e+01,5.888138693963188786e+00,-3.059262736330294175e+01,-5.092014537777407929e-34,-5.092014537777407929e-34,5.082014537777408115e-14
4.587921254587921283e+01,5.881997078011229618e+00,-3.059777264133923680e+01,5.522388386713781401e-34,5.522388386713781401e-34,5.512388386713781619e-14
4.622678233789344659e+01,5.875854415454338842e+00,-3.060292903980407075e+01,-3.794187691537506790e-34,-3.794187691537506790e-34,3.784187691537506871e-14
4.657435212990768747e+01,5.869710704672704615e+00,-3.060809657775952175e+01,6.610355895014893554e-35,6.610355895014893554e-35,6.510355895014893197e-15
4.692192192192192124e+01,5.863565944031188693e+00,-3.061327527468696630e+01,2.720339390491483166e-34,2.720339390491483166e-34,2.710339390491483429e-14
4.726949171393616211e+01,5.857420131879323755e+00,-3.061846515048708639e+01,-4.984844642614563223e-34,-4.984844642614563223e-34,4.974844642614563181e-14
4.761706150595039588e+01,5.851273266551316077e+00,-3.062366622547985529e+01,5.338781470617227493e-34,5.338781470617227493e-34,5.328781470617227960e-14
4.796463129796462965e+01,5.845125346366045527e+00,-3.062887852040455883e+01,-3.606535713789188050e-34,-3.606535713789188050e-34,3.596535713789188288e-14
4.831220108997887053e+01,5.838976369627061125e+00,-3.063410205641979189e+01,5.405270621999334008e-35,5.405270621999334008e-35,5.305270621999333461e-15
4.865977088199310430e+01,5.832826334622589037e+00,-3.063933685510343707e+01,2.727276563832115538e-34,2.727276563832115538e-34,2.717276563832115881e-14
4.900734067400734517e+01,5.826675239625526359e+00,-3.064458293845267889e+01,-4.877834060436906288e-34,-4.877834060436906288e-34,4.867834060436906783e-14
4.935491046602157894e+01,5.820523082893441114e+00,-3.064984032888402510e+01,5.159363506263177767e-34,5.159363506263177767e-34,5.149363506263178078e-14
